gene,phase
AT1G56280,Enriched_G2M
AT3G12300,Enriched_G2M
AT3G12270,Enriched_G2M
AT1G69526,Enriched_G2M
AT1G30400,Enriched_G2M
AT1G72040,Enriched_G2M
AT1G54960,Enriched_G2M
AT1G66470,Enriched_G2M
AT1G66510,Enriched_G2M
AT1G66800,Enriched_G2M
AT1G66750,Enriched_G2M
AT3G06110,Enriched_G2M
AT3G11220,Enriched_G2M
AT1G33500,Enriched_G2M
AT1G33540,Enriched_G2M
AT1G31460,Enriched_G2M
AT3G18850,Enriched_G2M
AT3G18880,Enriched_G2M
AT3G52170,Enriched_G2M
AT2G34140,Enriched_G2M
AT3G13690,Enriched_G2M
AT3G13780,Enriched_G2M
AT3G13740,Enriched_G2M
AT3G23890,Enriched_G2M
AT3G21140,Enriched_G2M
AT3G21110,Enriched_G2M
AT3G14190,Enriched_G2M
AT3G19590,Enriched_G2M
AT3G19720,Enriched_G2M
AT3G15240,Enriched_G2M
AT3G20140,Enriched_G2M
AT3G20150,Enriched_G2M
AT3G20020,Enriched_G2M
AT3G20060,Enriched_G2M
AT3G12870,Enriched_G2M
AT3G24430,Enriched_G2M
AT3G13150,Enriched_G2M
AT3G27890,Enriched_G2M
AT3G15060,Enriched_G2M
AT3G15560,Enriched_G2M
AT3G26590,Enriched_G2M
AT2G07671,Enriched_G2M
AT1G04050,Enriched_G2M
AT1G27060,Enriched_G2M
AT1G27100,Enriched_G2M
AT1G72530,Enriched_G2M
AT3G09670,Enriched_G2M
AT3G26050,Enriched_G2M
AT3G20410,Enriched_G2M
AT3G16840,Enriched_G2M
AT3G16810,Enriched_G2M
AT3G12860,Enriched_G2M
AT3G12670,Enriched_G2M
AT3G27350,Enriched_G2M
AT3G27330,Enriched_G2M
AT3G18800,Enriched_G2M
AT3G18680,Enriched_G2M
AT3G29250,Enriched_G2M
AT3G18750,Enriched_G2M
AT3G26690,Enriched_G2M
AT3G26710,Enriched_G2M
AT3G13040,Enriched_G2M
AT3G17770,Enriched_G2M
AT3G25070,Enriched_G2M
AT3G17170,Enriched_G2M
AT3G28450,Enriched_G2M
AT3G19910,Enriched_G2M
AT3G27550,Enriched_G2M
AT3G27560,Enriched_G2M
AT3G19440,Enriched_G2M
AT3G19360,Enriched_G2M
AT3G27580,Enriched_G2M
AT3G21300,Enriched_G2M
AT3G25980,Enriched_G2M
AT3G25890,Enriched_G2M
AT3G23670,Enriched_G2M
AT3G21540,Enriched_G2M
AT3G13940,Enriched_G2M
AT3G15850,Enriched_G2M
AT3G15790,Enriched_G2M
AT3G26910,Enriched_G2M
AT3G23400,Enriched_G2M
AT3G26744,Enriched_G2M
AT3G16150,Enriched_G2M
AT3G17609,Enriched_G2M
AT3G15390,Enriched_G2M
AT3G17350,Enriched_G2M
AT3G17360,Enriched_G2M
AT3G06030,Enriched_G2M
AT3G02400,Enriched_G2M
AT3G02640,Enriched_G2M
AT3G02690,Enriched_G2M
AT3G06660,Enriched_G2M
AT3G06840,Enriched_G2M
AT3G07030,Enriched_G2M
AT3G06980,Enriched_G2M
AT3G08710,Enriched_G2M
AT3G08690,Enriched_G2M
AT3G09700,Enriched_G2M
AT3G04710,Enriched_G2M
AT3G04020,Enriched_G2M
AT3G03950,Enriched_G2M
AT3G03980,Enriched_G2M
AT3G02120,Enriched_G2M
AT3G03130,Enriched_G2M
AT3G03110,Enriched_G2M
AT3G03090,Enriched_G2M
AT3G03060,Enriched_G2M
AT3G10050,Enriched_G2M
AT3G10620,Enriched_G2M
AT3G01410,Enriched_G2M
AT3G01820,Enriched_G2M
AT3G09370,Enriched_G2M
AT3G07320,Enriched_G2M
AT3G09270,Enriched_G2M
AT3G03450,Enriched_G2M
AT3G03310,Enriched_G2M
AT3G11670,Enriched_G2M
AT3G11650,Enriched_G2M
AT3G05490,Enriched_G2M
AT3G10310,Enriched_G2M
AT3G10250,Enriched_G2M
AT3G01770,Enriched_G2M
AT3G03630,Enriched_G2M
AT3G09080,Enriched_G2M
AT3G07750,Enriched_G2M
AT3G07720,Enriched_G2M
AT3G07780,Enriched_G2M
AT3G11410,Enriched_G2M
AT3G11420,Enriched_G2M
AT3G07630,Enriched_G2M
AT3G11520,Enriched_G2M
AT3G05200,Enriched_G2M
AT3G16310,Enriched_G2M
AT1G06310,Enriched_G2M
AT1G01620,Enriched_G2M
AT1G02370,Enriched_G2M
AT1G18900,Enriched_G2M
AT1G19110,Enriched_G2M
AT1G18910,Enriched_G2M
AT1G15800,Enriched_G2M
AT1G15870,Enriched_G2M
AT1G20490,Enriched_G2M
AT1G20410,Enriched_G2M
AT1G27960,Enriched_G2M
AT1G69020,Enriched_G2M
AT1G55300,Enriched_G2M
AT1G63100,Enriched_G2M
AT1G77490,Enriched_G2M
AT1G61010,Enriched_G2M
AT1G71060,Enriched_G2M
AT1G77550,Enriched_G2M
AT1G77630,Enriched_G2M
AT1G49840,Enriched_G2M
AT1G66250,Enriched_G2M
AT1G29340,Enriched_G2M
AT1G72250,Enriched_G2M
AT1G68440,Enriched_G2M
AT1G68400,Enriched_G2M
AT1G76740,Enriched_G2M
AT1G60850,Enriched_G2M
AT1G72670,Enriched_G2M
AT1G34355,Enriched_G2M
AT1G71350,Enriched_G2M
AT1G76540,Enriched_G2M
AT1G76460,Enriched_G2M
AT1G68020,Enriched_G2M
AT1G30070,Enriched_G2M
AT1G68840,Enriched_G2M
AT1G29940,Enriched_G2M
AT1G73690,Enriched_G2M
AT1G73180,Enriched_G2M
AT1G63300,Enriched_G2M
AT1G79880,Enriched_G2M
AT1G67550,Enriched_G2M
AT1G67530,Enriched_G2M
AT1G74490,Enriched_G2M
AT1G63650,Enriched_G2M
AT1G74240,Enriched_G2M
